Data	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)
HORA UTC	0	100	200	300	400	500	600	700	800	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200	2300
01-jan-2009	4,8	4,7	5,3	3,8	3	2,3	2,9	2,9	1,8	1,5	3,4	4,2	5,2	4,9	6,8	6,3	7,4	7,3	7,4	7,6	6,7	5,2	3,9	3,7
02-jan-2009	3,6	4,9	3,8	3,5	3	3,4	3,3	1,1	1,7	1	2,5	4,8	5,6	5,3	5,8	6,1	5,6	5,9	6	6,3	5,2	4,5	3,5	2,6
03-jan-2009	3	3,3	3,1	4	2,8	2,8	2,2	1,2	1,2	0,8	3,9	4,8	5,1	4,8	5,6	6,3	6,6	6,5	6,6	5,8	4,9	4,6	3,6	3,4
04-jan-2009	3,4	3,6	2	2,7	2,2	2,5	2,3	2,2	1,2	1,5	1,8	4,3	4,7	5,9	6,6	6,2	6,2	6,3	6,2	6,2	5,3	5,1	4	4,3
05-jan-2009	3,7	3,7	4,5	2,8	3,4	2,7	0,7	1,6	0,8	1,1	2,2	3,6	4,9	4,9	5,6	5,4	6,3	6,1	6,4	5,9	4,7	3,4	3,8	4,1
06-jan-2009	4,1	4,1	4,7	4,9	3,9	2	NULL	NULL	NULL	2,6	3,8	5,7	6,8	6,6	6,1	6,7	8	7,4	6,6	7	6,5	6,3	6	6,3
07-jan-2009	6,2	4,4	5,8	4,4	3	2,1	1,7	NULL	NULL	2,1	3,2	4,7	5,5	6,5	6,9	5,9	6,3	5,3	5,5	5,4	4,7	2,6	2,1	2,9
08-jan-2009	3,3	4,3	4,3	4,5	3,3	2,9	3,1	2,6	1,4	1,6	3,8	5,1	5,4	4,2	4,3	4,4	4,9	4,9	6,9	6,6	6,7	5,2	5,1	6,1
09-jan-2009	5,2	6,4	5,5	4,4	3,3	1,8	NULL	NULL	NULL	0,5	2,3	5,2	4,9	4,1	4,7	3,7	4,5	6,4	6,4	8	6,9	4,8	4,5	5,6
10-jan-2009	5,5	5,8	5,3	4,4	2,9	3,1	NULL	NULL	NULL	3	3,6	5	5,6	4,6	5	4,5	5,8	6,4	6,7	5,9	6,1	5,1	4,3	5,3
11-jan-2009	6,1	5,9	5,7	4,3	3,8	3,8	2	2,3	NULL	1,6	3,4	4	5,3	4,4	3,8	5,1	5,5	6,3	6,5	6,2	6,2	5,2	4,4	4,9
12-jan-2009	5,9	5,7	5,8	6,3	4,9	4,2	NULL	NULL	NULL	1,9	3,7	3,7	4,5	3,5	3,8	3,8	5,3	7	7,2	7,5	6,9	5,9	5,7	5,5
13-jan-2009	6,5	7	5,8	5	4,7	3,7	NULL	NULL	NULL	1,1	3,8	3,4	4,5	3,8	4,9	5	5,7	6	6	6,2	5,9	4,8	5,5	4,8
14-jan-2009	5,7	6	5,5	5	4	3,8	NULL	NULL	NULL	2,2	4,2	6,4	4,3	4,6	5,4	5	4,9	6,3	6,1	7	7,3	4,8	5	5,8
15-jan-2009	6	6	6,6	5,2	4,6	3,5	2,1	NULL	NULL	1,1	4	3,8	4,1	2,1	4,9	5,4	5,5	6	6,3	5,9	6,1	6	4,3	5,7
16-jan-2009	6	4,6	5	3,3	1,8	2,4	NULL	NULL	NULL	1	2,1	3,2	2,9	3,1	2,7	3,8	5,2	3,7	4,3	6,9	4,6	3,8	4	3,8
17-jan-2009	3	1,7	1,4	1,1	1,4	NULL	NULL	NULL	NULL	NULL	1,6	4,1	4,5	4,6	4,8	4	4,2	4,4	6,3	6,8	5,8	6,1	5,2	5,9
18-jan-2009	6,7	7,3	6,3	5	3,9	2,9	2,4	1,6	1,8	1,4	2,3	4,1	4,5	4,4	4,1	4,6	5,6	5,1	6,1	6,5	6,1	4,9	4	5,2
19-jan-2009	NULL	4,7	5,2	5,2	4,9	2,9	2,2	1,4	1,8	2	2,5	3,2	2,8	4,5	5,3	5,4	5,8	5,4	6,1	6,7	4,4	5,6	4,6	5,1
20-jan-2009	4,4	4,3	3,4	3,1	2,6	2	2,4	1,3	0,8	2	3,3	4,1	4,9	5	6,6	5,5	6,4	6,3	6	5,4	5,5	3,9	3,9	3,8
21-jan-2009	3,8	4,5	3,4	2,6	2,2	2,5	1,6	2,8	2,5	0,8	1	2	0,6	1,2	1	1,1	0,4	2,2	3,2	3,5	3,5	1,7	1,2	2,5
