Data	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)
HORA UTC	0	100	200	300	400	500	600	700	800	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200	2300
01-jan-2009	2,2	0,9	2,3	3,8	3,2	3,8	5,4	4,8	5,1	4,3	3,6	3,7	4,7	4,2	3,7	4,3	4,7	4,8	6,9	6,1	5,7	6,2	6	6,2
02-jan-2009	6,3	6,3	8,3	8,3	7,4	8	8,8	9,1	9,4	8	10	9,7	8,8	8	7	8,8	9,3	9,6	10,2	10	10,1	10,3	8,1	8,3
03-jan-2009	7,5	8,2	10,5	9,3	8,5	8,4	8,7	11,4	10	10,2	11,6	13	9	7,3	7	5,9	8,5	10,1	9,7	10,9	10,6	9,5	8,9	9,9
04-jan-2009	6,7	7,4	4,6	5,8	4,5	3	1,6	2,5	2,3	3,1	3	4	3,1	3,5	3,7	2,7	2,8	2,7	2,7	3,4	3	2,7	2,1	1,7
05-jan-2009	1,1	2,9	2,4	2,4	0	0,2	0,1	0,2	0	1,1	0,8	0,4	1,8	1,9	2,5	2,7	3,6	4,3	5,4	4,9	6,2	6,1	6,3	6,5
06-jan-2009	7,1	6,3	6,3	7,6	7,8	7,9	7,5	6,2	5,1	5,9	6	6,7	7,2	6,2	7,5	7,6	7,2	7,2	7,1	7,5	7,2	7	7,1	6,5
07-jan-2009	6,4	6,9	7,5	7,2	5,8	5,1	5,1	5,8	5	4,3	4,1	4,7	4,6	5,7	4,9	5,4	5,1	5,6	5,4	5,4	5	4,6	4,9	6,2
08-jan-2009	5,6	4,1	3,9	3,6	3	1,5	1,8	2,3	2,7	2,8	1,6	0,9	0,6	3,1	2,1	2	3,4	5,3	6,6	5,5	0,9	1,9	1,7	1,5
09-jan-2009	0,8	1,2	1,7	2,8	2,9	0	0	0	0,7	1	1,7	0,7	0	0,7	3,3	3,9	1,8	3,2	3	2,8	3,1	3,5	3,1	3,4
10-jan-2009	3,5	4,8	5,3	6,4	7,3	5,7	5	5,4	5,3	4,3	4,5	6,2	4,7	4,2	3,1	3,8	5,5	6	4,6	5,1	5,2	6,7	6,6	8,6
11-jan-2009	7,4	8,2	8,5	7,5	4,4	7,3	4,8	3,4	1,6	3	4,6	2,8	2,8	2,5	2,8	2,6	4,7	5,2	4,3	4,5	3,3	3,1	2,4	2,3
12-jan-2009	1,2	2,6	1,7	0,5	1,8	2,5	2,2	2,2	2,6	2,1	3,5	4,5	4,1	4,9	5	4,9	4,2	4,4	4,5	4,6	4,4	2,6	1,7	0,2
13-jan-2009	0	0,2	0	0	0	0	0,1	0	0,9	1,9	1,3	0,6	2	2,2	2,7	3,1	3,2	3,3	4,3	3	2,8	4,5	4,4	4,7
14-jan-2009	6,2	3,6	2,7	3,8	1,1	1,9	1,7	0,3	0	0,2	2,4	5,1	5,7	6,8	7	5,5	6,1	4,6	4,4	3,6	2,4	1,9	1,6	1,5
15-jan-2009	2,2	2,4	2,5	1,7	2,2	1,7	0,7	2	0,6	1	3	4,1	4,1	4,3	4,3	3,2	3,1	3,2	3,7	3,8	6,2	3,9	1,5	0,9
16-jan-2009	1,2	0,1	1,8	1,6	1,1	1,4	1,4	1,1	1	0,7	1,5	1,7	1,8	1,6	2,2	2,5	2,9	3,5	3,4	4,6	4,9	4,1	4,1	4,5
17-jan-2009	4,7	5,9	6,5	5,7	5,4	5,2	5,9	5	4,1	4,2	2,6	3	3	4,3	4,9	5,1	5	5	6,5	7	6,5	5,9	5,5	5,2
18-jan-2009	5,5	5,9	5,5	5,5	5,4	4,1	4,2	3,9	1,9	1,9	2,1	1,8	2,4	3,2	3,6	3,8	4,3	4,4	3,9	3,9	3	2,9	2	1,4
19-jan-2009	NULL	0,3	1,3	0	0,4	1,4	0,9	1,6	1,6	2,1	1,8	1,8	1,6	1,7	1,5	3,6	7,5	12,9	13,7	8,1	5,7	3,7	4,2	5,2
20-jan-2009	4,2	5,1	7,4	7	5,7	5,7	5,9	5,6	5,9	7,4	5,3	5,9	6,1	5,8	5	6,2	5,5	5,8	6,1	6,5	6,5	6,5	4,8	4,6
21-jan-2009	4,4	4,8	4,6	5,2	5,9	4,3	3,8	3,7	3,2	2,1	1,4	2	2,4	2,9	3,9	4,3	4,9	5,3	5,4	5,6	5,6	6,5	6,5	6,9
22-jan-2009	7,1	8	8,9	8,7	7,7	6,5	6,8	6,8	5,5	4	2,7	3,7	3,8	4,6	5,1	6,9	8,2	8,7	8,2	8,6	9,6	9,8	9,5	10,4
23-jan-2009	10	9,3	9,9	10,2	9,1	9,3	8,5	8,9	8,6	5,8	8,1	8,2	7	5,9	5,8	6,4	7,3	8,2	9,2	9,6	10,7	10,9	10,3	10,8
24-jan-2009	11,7	10,5	9,7	9,7	10,3	9,3	8,6	8,3	7,9	7,7	7,5	7,4	8	5,3	7,4	8,4	9	7	8,9	8	7,5	8,3	8,5	7,1
25-jan-2009	6,7	8	6,6	7,1	6,8	7,4	7,3	8,4	5,1	6,9	6,3	5,6	4,5	5,1	4,5	4,9	4,8	5,2	5,3	5,8	6	5,5	5,3	6,2
26-jan-2009	6	6,4	6,3	6	6,7	6,5	5,1	4,9	3,7	3,4	2,9	3,1	3,8	4,3	5,5	5,5	5,2	4,4	3,6	4,9	5	5,1	5,8	6,7
27-jan-2009	6,5	6,7	7,1	6,7	6,5	4,9	4,7	5,1	4,4	3,6	3,4	3,2	5,2	6,5	5,5	7,4	5,4	5,1	4,4	5,2	5,1	5,8	5,9	5,2
28-jan-2009	6,2	7	6,8	7,4	6,8	6,5	5,9	5,6	6,7	3,7	4,2	3,8	3,8	4,1	3,8	7	7,8	6,8	7,2	6,8	7,7	6,7	7,1	7
29-jan-2009	6,6	6,4	5,8	6,4	9,8	10	8	6,9	6,6	2,6	3,8	4,3	4,2	2,9	3,1	2,7	2,9	0,7	1,9	1,8	2,8	2,8	2,8	5,1
30-jan-2009	5,1	4,3	4,7	2,5	0,3	0,3	0	0,5	0,5	0	0,1	1,6	2,6	3,5	5,9	5,9	4,2	3,1	4,1	3,9	2,7	5,2	2,8	4,4
31-jan-2009	3,8	3,8	3,2	3,1	2,1	0,5	1,3	1	4,1	2,9	5,7	6,1	7,7	7,8	8,6	8	8,6	9,9	7,7	9,2	7,6	6,4	6,5	3,2
01-fev-2009	2,5	1,6	0,1	0,9	1,2	2,1	0	0	0,3	0,8	1	3,6	4,8	4,4	3,6	2,2	2,6	3,3	3,2	2,9	1,4	2	1,7	1,4
02-fev-2009	1,5	1,3	1,3	1	2,7	2,6	2,5	3,1	2,8	3	3,4	3,3	2,9	3,5	2,6	3,7	3	3,4	3,4	5,2	5,2	5,5	5,1	5,5
03-fev-2009	6,6	6,6	7,2	7,6	6,2	6	6,9	7,7	5,8	4,5	2,1	4	4,7	5,4	4	4,4	5,1	4,6	5	5,9	5,8	4,8	4,1	4,3
04-fev-2009	3,9	5,2	4,3	3,7	4	1,1	0,1	2,6	3,9	2,6	3	4,2	4	4,9	4,9	6,5	5,4	6,6	9,2	5,9	4,7	5,5	4,7	3,8
05-fev-2009	4	2	1,8	1,3	1	1,6	1,2	1,7	1,5	1,3	1,1	0,4	1,6	2,1	2,9	3,6	4	4,8	5,2	6	7,4	6,6	7,1	6,5
06-fev-2009	7,1	7,5	7,6	8,7	7,6	7,2	7,4	6,6	7,2	6	6,4	5,7	6,3	5,6	5,5	5,2	4,4	3,4	3,6	3	3,5	3	3,1	2,4
07-fev-2009	0,9	0,1	1,3	0,3	1,3	0,9	2	0	0,1	1,7	2,6	3,3	5,3	4,8	3,4	4	4,9	6,3	4,9	4,5	1,7	2,1	1,4	2
08-fev-2009	2,7	1,8	1,7	1,9	1,7	1,6	1,4	0,6	0,7	0	0,4	1,7	2,5	2,6	2,1	2,5	3,5	3,2	3,2	3,4	3,5	3,5	3,3	2,6
